ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Краткое описание",Описание,"Дата начала действия продажной цены","Дата окончания действия продажной цены","Статус налога","Налоговый класс","В наличии?",Запасы,"Величина малых запасов","Возможен ли предзаказ?","Продано индивидуально?","Вес (kg)","Длина (cm)","Ширина (cm)","Высота (cm)","Разрешить отзывы от клиентов?","Примечание к покупке","Цена распродажи","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Число дней до просроченной загрузки",Родительский,"Сгруппированные товары",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция,"Имя атрибута 1","Значение(-я) аттрибута(-ов) 1","Видимость атрибута 1","Глобальный атрибут 1","Имя атрибута 2","Значение(-я) аттрибута(-ов) 2","Видимость атрибута 2","Глобальный атрибут 2"
127,variable,,"КОВРИКИ В САЛОН VOLKSWAGEN AMAROK 2010 - Н.В",1,0,visible,"краткое описание",описание,,,taxable,,0,,,0,0,,,,,1,,,,Amarok,,,,,,,,,,,,0,"Цвет материала","бежевый, коричневый, красный, светло-серый, синий, черный",1,1,"цвет окантовки","бежевый, белый, бордовый, желтый, зеленый, коричневый, красный, оранжевый, светло-серый, синий, темно-зеленый, темно-серый, темно-синий, фиолетовый, черный",1,1
182,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN BEETLE I (A4) 2005- 2010",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Beetle,,,,,,,,,,,,0,,,,,,,,
183,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN BEETLE II (A5) 2011-Н.В",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Beetle,,,,,,,,,,,,0,,,,,,,,
184,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN BORA 1998 - 2005",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Bora,,,,,,,,,,,,0,,,,,,,,
185,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN CADDY 2004 - Н.В",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Caddy,,,,,,,,,,,,0,,,,,,,,
186,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN CADDY МАХI 2004 - Н.В",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Caddy MAXI",,,,,,,,,,,,0,,,,,,,,
187,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN CADDY МАХI IV 2015-2020",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Caddy MAXI",,,,,,,,,,,,0,,,,,,,,
188,simple,,"КОВРИКИ В САЛОН VW CARAVELLE T5/T6 2003- Н.В (ДЛИННАЯ БАЗА)",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Caravelle,,,,,,,,,,,,0,,,,,,,,
189,simple,,"КОВРИКИ В САЛОН VW CARAVELLE T5/T6 2003- Н.В (КОРОТКАЯ БАЗА)",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Caravelle,,,,,,,,,,,,0,,,,,,,,
190,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN CORRADO 1988 - 1995",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Corrado,,,,,,,,,,,,0,,,,,,,,
191,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN CRAFTER 2006 - 2016",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Crafter,,,,,,,,,,,,0,,,,,,,,
192,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN CRAFTER 2016 - 2020",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Crafter,,,,,,,,,,,,0,,,,,,,,
193,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN CRAFTER 2020-Н.В.",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Crafter,,,,,,,,,,,,0,,,,,,,,
194,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN GOLF II 1983 - 1992",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Golf,,,,,,,,,,,,0,,,,,,,,
